"taskId","cost_ms"
172315878,597.2000
172315879,1781.4000
172315880,1988.4000
172315881,231.8000
172315882,172.1000
172315883,163.0000
172315884,189.9000
172315885,253.7000
172315886,223.9000
172315887,162.1000
172315888,3952.5000
172315889,272.1000
172315890,289.9000
172315891,371.4000
172315892,3930.1000
172315893,3884.0000
172315894,4054.4000
172315895,246.4000
172315896,338.0000
172315897,3776.3000
172315898,437.7000
172315899,408.3000
172315900,456.1000
172315901,355.0000
172315902,197.0000
172315903,4057.6000
172315904,1850.0000
172315905,535.0000
172315906,598.8000
172315907,496.1000
172315908,591.4000
172315909,355.2000
172315910,535.1000
172315911,333.8000
172315912,3447.8000
172315913,3454.0000
172315914,322.4000
172315915,353.6000
172315916,338.7000
172315917,429.5000
172315918,1280.7000
172315919,1270.6000
172315920,1226.6000
172315921,338.5000
172315922,323.8000
172315923,360.4000
172315924,368.7000
172315925,382.6000
172315926,3412.7000
172315927,360.8000
172315928,368.9000
172315929,160.3000
172315930,158.4000
172315931,782.9000
172315932,1495.3000
172315933,3277.0000
172315934,197.1000
172315935,157.8000
172315936,173.8000
172315937,163.6000
172315938,169.9000
172315939,192.1000
172315940,507.3000
172315941,158.6000
172315942,249.8000
172315943,309.5000
172315944,282.5000
172315945,273.0000
172315946,160.1000
172315947,358.0000
172315948,164.9000
172315949,152.7000
172315950,186.1000
172315951,352.3000
172315952,322.1000
172315953,357.8000
172315954,335.2000
172315955,362.3000
172315956,360.3000
172315957,370.6000
172315958,342.1000
172315959,346.4000
172315960,334.3000
172315961,384.3000
172315962,333.7000
172315963,354.1000
172315964,329.0000
172315965,2.2000
172315966,1.5000
172315967,2.0000
172315968,2.1000
172315969,2.1000
172315970,1.7000
172315971,1.6000
172315972,1.8000
172315973,2.3000
172315974,1.6000
172315975,1.5000
172315976,1.3000
172315977,2.0000
172315978,1.8000
172315979,1.9000
172315980,1.3000
172315981,1.9000
172315982,1.5000
172315983,1.5000
172315984,1.7000
172315985,2.1000
172315986,2.0000
172315987,1.8000
172315988,188.0000
172315989,156.6000
172315990,122.7000
172315991,150.6000
172315992,120.6000
172315993,180.6000
172315994,155.6000
172315995,152.0000
172315996,1324.8000
172315997,330.2000
172315998,145.5000
172315999,150.1000
172316000,211.1000
172316001,151.2000
172316002,214.3000
172316003,332.7000
172316004,267.0000
172316005,235.5000
172316006,191.9000
172316007,144.0000
172316008,2.3000
172316009,1.7000
172316010,2.2000
172316011,1.4000
172316012,1.5000
172316013,1.8000
172316014,2.0000
172316015,1.8000
172316016,1.5000
172316017,1.5000
172316018,2.0000
172316019,2.0000
172316020,2.0000
172316021,1.4000
172316022,1.9000
172316023,2.2000
172316024,1.6000
172316025,1.5000
172316026,2.1000
172316027,2.1000
172316028,1.2000
172316029,1.7000
172316030,2.4000
172316031,1.4000
172316032,1.5000
172316033,1.4000
172316034,1.9000
172316035,159.7000
172316036,189.2000
172316037,343.2000
172316038,178.5000
172316039,262.1000
172316040,2443.9000
172316041,283.9000
172316042,356.5000
172316043,180.9000
172316044,154.6000
172316045,392.1000
172316046,188.7000
172316047,1.8000
172316048,1.6000
172316049,2.0000
172316050,1.7000
172316051,1.7000
172316052,1.4000
172316053,2.1000
172316054,1.8000
172316055,1.6000
172316056,1.6000
172316057,1.9000
172316058,2.0000
172316059,150.3000
172316060,151.1000
172316061,179.0000
172316062,162.1000
172316063,156.4000
172316064,158.1000
172316065,425.3000
172316066,149.9000
172316067,149.5000
172316068,349.4000
172316069,192.2000
172316070,185.1000
172316071,180.3000
172316072,424.3000
172316073,124.5000
172316074,859.1000
172316075,295.6000
172316076,189.4000
172316077,185.4000
172316078,148.5000
172316079,148.5000
172316080,271.9000
172316081,1.2000
172316082,1.4000
172316083,1.2000
172316084,2.0000
172316085,259.3529
172316086,324.1985
172316087,315.7825
172316088,446.4329
172316089,271.6766
172316090,434.9737
172316091,480.1000
172316092,162.2000
172316093,192.5000
172316094,160.8000
172316095,191.4000
172316096,182.7000
172316097,213.8000
172316098,123.8000
172316099,200.3000
172316100,1124.0000
172316101,385.1000
172316102,182.6000
172316103,176.5000
172316104,150.8000
172316105,267.7000
172316106,1.3000
172316107,1.6000
172316108,1.2000
172316109,1.1000
172316110,1.6000
172316111,274.7000
172316112,942.0000
172316113,151.9000
172316114,300.9000
172316115,153.2000
172316116,152.4000
172316117,148.4000
172316118,214.2000
172316119,1260.4000
172316120,147.0000
172316121,234.4000
172316122,201.7000
172316123,216.5000
172316124,150.1000
172316125,156.8000
172316126,177.5000
172316127,280.1000
172316128,1.6000
172316129,1.7000
172316130,1.5000
172316131,1.6000
172316132,2.0000
172316133,1.7000
172316134,1.4000
172316135,2.0000
172316136,1.5000
172316137,1.6000
172316138,1.9000
172316139,215.7000
172316140,153.6000
172316141,524.5000
172316142,248.4000
172316143,195.4000
172316144,2726.6000
172316145,557.6000
172316146,1137.7000
172316147,151.3000
172316148,190.9000
172316149,237.8000
172316150,1.8000
172316151,1.9000
172316152,1.8000
172316153,1.4000
172316154,2.1000
172316155,1.7000
172316156,1.6000
172316157,211.1000
172316158,165.8000
172316159,211.2000
172316160,355.5000
172316161,195.7000
172316162,547.6000
172316163,1729.5000
172316164,152.0000
172316165,182.5000
172316166,1.6000
172316167,1.7000
172316168,1.7000
172316169,1.6000
172316170,1.3000
172316171,366.7000
172316172,160.1000
172316173,185.6000
172316174,222.8000
172316175,1263.2000
172316176,180.1000
172316177,184.6000
172316178,162.5000
172316179,1.4000
172316180,1.2000
172316181,1.5000
172316182,1.3000
172316183,222.5000
172316184,214.1000
172316185,180.1000
172316186,2.1000
172316187,2.5000
172316188,1.9000
172316189,1.6000
172316190,1.8000
172316191,1.7000
172316192,527.6000
172316193,217.6000
172316194,1.6000
172316195,187.5000
172316196,178.2000
172316197,1.3000
172316198,197.1000
172316199,189.0000
172316200,193.8000
172316201,233.1000
172316202,282.9000
172316203,240.9000
172316204,1.3000
172316205,151.5000
172316206,186.4000
172316207,156.2000
172316208,123.8000
172316209,1.2000
172316210,1.5000
172316211,1.2000
172316212,1.5000
172316213,2.0000
172316214,174.3000
172316215,214.2000
172316216,210.5000
172316217,1.3000
172316218,147.7000
172316219,216.7000
172316220,1.6000
172316221,2.0000
172316222,173.4000
172316223,1.2000
172316224,1.3000
172316225,155.0000
172316226,1.5000
172316227,1.3000
