"nodeId","order","cost_ms"
task-1,0,23.85000000
task-2,0,22.10000000
task-3,0,23.40000000
task-4,0,21.67000000
task-5,0,22.16000000
task-6,0,23.61000000
task-7,0,22.36000000
task-8,0,24.31000000
task-9,0,21.35000000
task-10,0,22.40000000
task-11,0,49.49100000
task-12,0,32.48700000
task-13,0,23.13400000
task-14,0,17.29300000
task-15,0,19.95900000
task-16,0,17.29300000
task-17,0,82.70000000
task-18,0,22.04100000
task-19,0,20.18600000
task-20,0,28.60500000
task-21,0,19.69100000
task-22,0,91.74000000
task-23,0,10.67900000
task-24,0,17.34700000
task-25,0,14.45600000
task-26,0,27.64200000
task-27,0,29.73100000
task-28,0,22.01300000
task-29,0,10.66900000
task-30,0,16.52200000
task-31,0,15.39200000
task-32,0,27.37000000
task-33,0,40.56000000
task-34,0,49.84000000
task-35,0,27.21000000
task-36,0,25.31000000
task-37,0,27.42000000
task-38,0,31.57000000
task-39,0,10.35000000
task-40,0,13.12600000
task-41,0,10.85600000
task-42,0,11.13600000
task-43,0,11.06700000
task-44,0,10.76000000
task-45,0,10.72900000
task-46,0,11.00800000
task-47,0,10.90100000
task-48,0,10.91400000
task-49,0,10.94800000
task-50,0,11.81300000
task-51,0,10.56400000
task-52,0,13.57800000
task-53,0,10.67600000
task-54,0,10.63600000
task-55,0,11.70700000
task-56,1,30.94000000
task-57,1,21.93000000
task-58,1,27.30000000
task-59,1,18.26000000
task-60,1,26.92000000
task-61,1,18.37000000
task-62,1,17.11000000
task-63,1,22.24000000
task-64,1,23.84000000
task-65,1,18.08000000
task-66,1,18.48000000
task-67,1,15.62000000
task-68,1,20.84000000
task-69,1,13.45000000
task-70,1,21.16000000
task-71,1,13.11000000
task-72,1,17.40000000
task-73,1,16.00000000
task-74,1,26.89000000
task-75,1,12.41000000
task-76,1,33.96000000
task-77,1,15.70000000
task-78,1,17.28000000
task-79,1,15.47000000
task-80,1,18.25000000
task-81,1,18.63000000
task-82,1,25.38000000
task-83,1,15.15000000
task-84,1,15.33000000
task-85,1,14.95000000
task-86,1,23.92000000
task-87,1,23.55000000
task-88,1,26.16000000
task-89,1,23.91000000
task-90,1,21.57000000
task-91,1,22.63000000
task-92,1,34.0000
task-93,1,50.0000
task-94,1,32.0000
task-95,1,30.0000
task-96,1,21.0000
task-97,1,46.0000
task-98,1,20.0000
task-99,1,26.0000
task-100,1,16.0000
task-101,1,21.0000
task-102,1,22.0000
task-103,1,24.0000
task-104,1,18.0000
task-105,1,30.0000
task-106,1,22.0000
task-107,1,20.0000
task-108,1,22.0000
task-109,1,33.0000
task-110,1,30.0000
task-111,1,26.0000
task-112,1,16.0000
task-113,1,30.0000
task-114,1,22.0000
task-115,1,16.0000
task-116,1,17.0000
task-117,1,31.0000
task-118,1,21.0000
task-119,1,28.0000
task-120,1,47.0000
task-121,1,18.0000
task-122,1,26.0000
task-123,1,16.0000
task-124,1,15.0000
task-125,1,24.0000
task-126,1,17.0000
task-127,1,19.0000
task-128,1,28.0000
task-129,1,29.0000
