"nodeId","order","cost_ms"
task-1,0,2385.0000
task-2,0,2210.0000
task-3,0,2340.0000
task-4,0,2167.0000
task-5,0,2216.0000
task-6,0,2361.0000
task-7,0,2236.0000
task-8,0,2431.0000
task-9,0,2135.0000
task-10,0,2240.0000
task-11,0,49491.0000
task-12,0,32487.0000
task-13,0,23134.0000
task-14,0,17293.0000
task-15,0,19959.0000
task-16,0,17293.0000
task-17,0,8270.0000
task-18,0,22041.0000
task-19,0,20186.0000
task-20,0,28605.0000
task-21,0,19691.0000
task-22,0,9174.0000
task-23,0,10679.0000
task-24,0,17347.0000
task-25,0,14456.0000
task-26,0,27642.0000
task-27,0,29731.0000
task-28,0,22013.0000
task-29,0,10669.0000
task-30,0,16522.0000
task-31,0,15392.0000
task-32,0,2737.0000
task-33,0,4056.0000
task-34,0,4984.0000
task-35,0,2721.0000
task-36,0,2531.0000
task-37,0,2742.0000
task-38,0,3157.0000
task-39,0,10350.0000
task-40,0,13126.0000
task-41,0,10856.0000
task-42,0,11136.0000
task-43,0,11067.0000
task-44,0,10760.0000
task-45,0,10729.0000
task-46,0,11008.0000
task-47,0,10901.0000
task-48,0,10914.0000
task-49,0,10948.0000
task-50,0,11813.0000
task-51,0,10564.0000
task-52,0,13578.0000
task-53,0,10676.0000
task-54,0,10636.0000
task-55,0,11707.0000
task-56,1,3094.0000
task-57,1,2193.0000
task-58,1,2730.0000
task-59,1,1826.0000
task-60,1,2692.0000
task-61,1,1837.0000
task-62,1,1711.0000
task-63,1,2224.0000
task-64,1,2384.0000
task-65,1,1808.0000
task-66,1,1848.0000
task-67,1,1562.0000
task-68,1,2084.0000
task-69,1,1345.0000
task-70,1,2116.0000
task-71,1,1311.0000
task-72,1,1740.0000
task-73,1,1600.0000
task-74,1,2689.0000
task-75,1,1241.0000
task-76,1,3396.0000
task-77,1,1570.0000
task-78,1,1728.0000
task-79,1,1547.0000
task-80,1,1825.0000
task-81,1,1863.0000
task-82,1,2538.0000
task-83,1,1515.0000
task-84,1,1533.0000
task-85,1,1495.0000
task-86,1,2392.0000
task-87,1,2355.0000
task-88,1,2616.0000
task-89,1,2391.0000
task-90,1,2157.0000
task-91,1,2263.0000
task-92,1,34.0000
task-93,1,50.0000
task-94,1,32.0000
task-95,1,30.0000
task-96,1,21.0000
task-97,1,46.0000
task-98,1,20.0000
task-99,1,26.0000
task-100,1,16.0000
task-101,1,21.0000
task-102,1,22.0000
task-103,1,24.0000
task-104,1,18.0000
task-105,1,30.0000
task-106,1,22.0000
task-107,1,20.0000
task-108,1,22.0000
task-109,1,33.0000
task-110,1,30.0000
task-111,1,26.0000
task-112,1,16.0000
task-113,1,30.0000
task-114,1,22.0000
task-115,1,16.0000
task-116,1,17.0000
task-117,1,31.0000
task-118,1,21.0000
task-119,1,28.0000
task-120,1,47.0000
task-121,1,18.0000
task-122,1,26.0000
task-123,1,16.0000
task-124,1,15.0000
task-125,1,24.0000
task-126,1,17.0000
task-127,1,19.0000
task-128,1,28.0000
task-129,1,29.0000
task-130,1,30.0000
task-131,1,18.0000
task-132,1,43.0000
task-133,1,84.0000
task-134,1,33.0000
task-135,1,55.0000
task-136,1,38.0000
task-137,1,40.0000
task-138,1,37.0000
task-139,1,36.0000
task-140,1,64.0000
task-141,2,3678.2200
task-142,2,4226.4940
task-143,2,431.2240
task-144,2,504.8780
task-145,2,1963.0000
task-146,2,2073.0000
task-147,2,2232.0000
task-148,2,1872.0000
task-149,2,3165.0000
task-150,2,2797.0000
task-151,2,2802.0000
task-152,2,2794.0000
task-153,2,2520.0000
task-154,2,2544.0000
task-155,2,2582.0000
task-156,2,2357.0000
task-157,2,2422.0000
task-158,2,3869.0000
task-159,2,1519.0000
task-160,2,1906.0000
task-161,2,3405.0000
task-162,2,1958.0000
task-163,2,1647.0000
task-164,2,1969.0000
