"taskId","cost_ms"
172314778,175.0000
172314779,149.8000
172314780,140.7000
172314781,140.3000
172314782,136.5000
172314783,143.0000
172314784,135.1000
172314785,139.9000
172314786,140.6000
172314787,165.1000
172314788,1796.5000
172314789,647.6000
172314790,716.1000
172314791,569.6000
172314792,672.0000
172314793,752.1000
172314794,370.9000
172314795,639.2000
172314796,690.2000
172314797,1594.9000
172314798,669.6000
172314799,525.0000
172314800,432.6000
172314801,674.5000
172314802,711.3000
172314803,672.8000
172314804,658.2000
172314805,683.4000
172314806,687.4000
172314807,639.5000
172314808,671.6000
172314809,641.4000
172314810,160.0000
172314811,428.9000
172314812,326.8000
172314813,311.4000
172314814,187.6000
172314815,298.3000
172314816,305.7000
172314817,130.7000
172314818,214.8000
172314819,207.2000
172314820,214.2000
172314821,206.0000
172314822,210.2000
172314823,212.0000
172314824,201.5000
172314825,207.5000
172314826,178.6000
172314827,175.3000
172314828,178.0000
172314829,177.6000
172314830,154.6000
172314831,179.4000
172314832,423.2000
172314833,149.8000
172314834,156.6000
172314835,143.6000
172314836,149.5000
172314837,146.2000
172314838,272.5000
172314839,120.0000
172314840,123.4000
172314841,149.3000
172314842,126.5000
172314843,149.9000
172314844,171.3000
172314845,149.8000
172314846,147.5000
172314847,149.1000
172314848,212.2000
172314849,119.4000
172314850,122.0000
172314851,134.6000
172314852,208.9000
172314853,204.6000
172314854,179.0000
172314855,172.5000
172314856,297.1000
172314857,170.9000
172314858,179.9000
172314859,202.3000
172314860,182.9000
172314861,191.1000
172314862,175.4000
172314863,170.9000
172314864,174.6000
172314865,190.7000
172314866,189.1000
172314867,212.8000
172314868,217.7000
172314869,214.8000
172314870,230.8000
172314871,209.3000
172314872,319.2000
172314873,1.4000
172314874,1.5000
172314875,1.5000
172314876,1.3000
172314877,1.8000
172314878,1.5000
172314879,1.4000
172314880,1.7000
172314881,1.3000
172314882,1.7000
172314883,1.8000
172314884,1.7000
172314885,1.5000
172314886,1.6000
172314887,2.0000
172314888,1.7000
172314889,2.5000
172314890,2.9000
172314891,2.0000
172314892,1.6000
172314893,1.9000
172314894,1.8000
172314895,1.3000
172314896,1.7000
172314897,3.2000
172314898,1.7000
172314899,1.6000
172314900,1.8000
172314901,2.2000
172314902,1.9000
172314903,1.8000
172314904,1.5000
172314905,2.0000
172314906,1.8000
172314907,307.5606
172314908,306.5577
172314909,70.9112
172314910,62.4816
172314911,179.5000
172314912,235.8000
172314913,149.4000
172314914,325.6000
172314915,176.3000
172314916,144.6000
172314917,220.8000
172314918,495.3000
172314919,456.8000
172314920,631.2000
172314921,485.1000
172314922,240.1000
172314923,304.8000
172314924,188.0000
172314925,324.4000
172314926,213.4000
172314927,175.0000
172314928,181.2000
172314929,1.7000
172314930,2.0000
172314931,1.7000
172314932,1.5000
172314933,249.0163
172314934,343.8000
172314935,333.0000
172314936,145.3000
172314937,144.4000
172314938,150.0000
172314939,144.6000
172314940,150.2000
172314941,238.3000
172314942,143.6000
172314943,233.3000
172314944,156.0000
172314945,118.9000
172314946,301.3000
172314947,239.0000
172314948,216.1000
172314949,272.4000
172314950,238.3000
172314951,243.7000
172314952,481.0000
172314953,157.7000
172314954,184.9000
172314955,248.4000
172314956,1.5000
172314957,1.5000
172314958,1.7000
172314959,1.7000
172314960,1.5000
172314961,1.9000
172314962,1.4000
172314963,1.9000
172314964,1.5000
172314965,1.9000
172314966,1.3000
172314967,1.4000
172314968,1.9000
172314969,232.2000
172314970,177.6000
172314971,186.1000
172314972,214.7000
172314973,176.2000
